Issue Id,Parent Id,Issue Type,Summary,Epic Name,Epic Link,Parent,Description,Acceptance Criteria,Priority,Story Points,Sprint,Status,Labels
E1,,Epic,Backend Foundation,Backend Foundation,,,"Secure backend APIs for authentication, user profile lookup, application CRUD, dashboard aggregation, PostgreSQL persistence, Swagger, and service tests.","Backend APIs support current MVP scope; JWT authentication is enforced; Swagger and tests validate completed backend behavior.",Highest,,Completed / v0.1,Done,"backend,api,security"
E2,,Epic,Frontend MVP Foundation,Frontend MVP Foundation,,,"Next.js frontend foundation with authentication, protected routes, dashboard, and application CRUD using existing backend APIs.","Frontend uses real APIs; JWT session is stored and restored; dashboard and application workflows are functional.",Highest,,Completed / v0.2,Done,"frontend,api-integration"
E3,,Epic,Premium SaaS UI,Premium SaaS UI,,,"Premium responsive SaaS interface, fixed sidebar, improved dashboard, applications page, and Kanban board.","UI is responsive; sidebar is fixed; dashboard/applications UX is improved; board uses existing APIs.",Highest,,Sprint 1 / v0.3,To Do,"frontend,ui,ux,responsive"
E4,,Epic,Advanced Application Management,Advanced Application Management,,,"Advanced search, filters, sorting, and result handling for larger application pipelines.","Users can find and manage applications efficiently without mock data.",High,,Sprint 2 / v1.0,To Do,"frontend,applications,search,filters"
E5,,Epic,Resume Manager,Resume Manager,,,"Resume upload and resume management foundation for future AI workflows.","Users can upload and manage resumes securely after contracts are approved.",Medium,,Sprint 2 / v1.0,To Do,"resume,frontend,backend"
E6,,Epic,Calendar and Reminders,Calendar and Reminders,,,"Interview and follow-up reminder workflow based on approved roadmap.","Users can see upcoming follow-up/interview reminders without breaking application tracking.",Medium,,Sprint 2 / v1.0,To Do,"calendar,reminders"
E7,,Epic,AI Features,AI Features,,,"Approved AI resume analyzer, job match scoring, and career assistant.","AI features are built only after contracts and data handling are approved.",Medium,,Sprint 3 / v1.0,To Do,"ai,resume,applications"
E8,,Epic,Deployment,Deployment,,,"Frontend and backend production readiness and deployment.","Frontend and backend deploy successfully with environment configuration, migrations, and smoke tests.",High,,Sprint 3 / v1.0,To Do,"deployment,release"
S1,,Story,AF-ST-001 User Registration API,,Backend Foundation,,As a new user I want to register an account so that I can use ApplyFlow AI securely.,"POST /api/auth/register creates user; duplicate email is rejected; password is hashed; JWT and user response are returned; Swagger validation passes.",Highest,5,Completed / v0.1,Done,"backend,authentication,jwt,security"
T1,S1,Task,Implement registration service and endpoint,,Backend Foundation,AF-ST-001 User Registration API,Create DTO controller service persistence and JWT response for registration.,"Registration path works end to end and duplicate users are rejected.",Highest,,Completed / v0.1,Done,"backend,authentication"
SB1,T1,Sub-task,Validate registration with Swagger,,Backend Foundation,Implement registration service and endpoint,Execute Swagger request and verify successful and duplicate registration cases.,"Swagger evidence confirms registration behavior.",High,,Completed / v0.1,Done,"swagger,testing"
